
[#################################                 ] 67% 44-45 | [-50]-[-40] | 50.96 s | join = 11334 | tmass = 11334 | gaia = 43890| TOP = 50000000
[##################################################] 100% 44-45 | [-40]-[-30] | 37.88 s | join = 11654 | tmass = 11654 | gaia = 46280| TOP = 50000000
[################                                  ] 33% 45-46 | [-60]-[-50] | 39.05 s | join = 10797 | tmass = 10797 | gaia = 40115| TOP = 50000000
[#################################                 ] 67% 45-46 | [-50]-[-40] | 73.09 s | join = 11495 | tmass = 11495 | gaia = 44267| TOP = 50000000
[##################################################] 100% 45-46 | [-40]-[-30] | 88.82 s | join = 12325 | tmass = 12325 | gaia = 48016| TOP = 50000000
[################                                  ] 33% 46-47 | [-60]-[-50] | 33.35 s | join = 10898 | tmass = 10898 | gaia = 40160| TOP = 50000000
[#################################                 ] 67% 46-47 | [-50]-[-40] | 35.28 s | join = 11516 | tmass = 11516 | gaia = 44156| TOP = 50000000
[##################################################] 100% 46-47 | [-40]-[-30] | 74.98 s | join = 12976 | tmass = 12976 | gaia = 48187| TOP = 50000000
[################                                  ] 33% 47-48 | [-60]-[-50] | 84.47 s | join = 10572 | tmass = 10572 | gaia = 40967| TOP = 50000000
[#################################                 ] 67% 47-48 | [-50]-[-40] | 47.21 s | join = 11881 | tmass = 11881 | gaia = 44552| TOP = 50000000
[##################################################] 100% 47-48 | [-40]-[-30] | 52.97 s | join = 12141 | tmass = 12141 | gaia = 47387| TOP = 50000000
[################                                  ] 33% 48-49 | [-60]-[-50] | 65.08 s | join = 11253 | tmass = 11253 | gaia = 41762| TOP = 50000000
[#################################                 ] 67% 48-49 | [-50]-[-40] | 59.82 s | join = 12247 | tmass = 12247 | gaia = 45866| TOP = 50000000
[##################################################] 100% 48-49 | [-40]-[-30] | 60.22 s | join = 12223 | tmass = 12223 | gaia = 47559| TOP = 50000000
[################                                  ] 33% 49-50 | [-60]-[-50] | 43.59 s | join = 11219 | tmass = 11219 | gaia = 42093| TOP = 50000000
[#################################                 ] 67% 49-50 | [-50]-[-40] | 43.42 s | join = 13400 | tmass = 13400 | gaia = 47332| TOP = 50000000
[##################################################] 100% 49-50 | [-40]-[-30] | 52.67 s | join = 12797 | tmass = 12797 | gaia = 49152| TOP = 50000000
[################                                  ] 33% 50-51 | [-60]-[-50] | 62.6 s | join = 11090 | tmass = 11090 | gaia = 42233| TOP = 50000000
[#################################                 ] 67% 50-51 | [-50]-[-40] | 58.45 s | join = 12400 | tmass = 12400 | gaia = 46932| TOP = 50000000
[##################################################] 100% 50-51 | [-40]-[-30] | 86.68 s | join = 12425 | tmass = 12425 | gaia = 49659| TOP = 50000000
[################                                  ] 33% 51-52 | [-60]-[-50] | 39.02 s | join = 10906 | tmass = 10906 | gaia = 42399| TOP = 50000000
[#################################                 ] 67% 51-52 | [-50]-[-40] | 66.86 s | join = 12130 | tmass = 12130 | gaia = 46407| TOP = 50000000
[##################################################] 100% 51-52 | [-40]-[-30] | 60.76 s | join = 12379 | tmass = 12379 | gaia = 50080| TOP = 50000000
[################                                  ] 33% 52-53 | [-60]-[-50] | 57.02 s | join = 11011 | tmass = 11011 | gaia = 42466| TOP = 50000000
[#################################                 ] 67% 52-53 | [-50]-[-40] | 42.61 s | join = 11988 | tmass = 11988 | gaia = 44648| TOP = 50000000
[##################################################] 100% 52-53 | [-40]-[-30] | 43.47 s | join = 12231 | tmass = 12231 | gaia = 49316| TOP = 50000000
[################                                  ] 33% 53-54 | [-60]-[-50] | 57.36 s | join = 10612 | tmass = 10612 | gaia = 42100| TOP = 50000000
[#################################                 ] 67% 53-54 | [-50]-[-40] | 51.43 s | join = 11321 | tmass = 11321 | gaia = 44649| TOP = 50000000
[##################################################] 100% 53-54 | [-40]-[-30] | 54.46 s | join = 12935 | tmass = 12935 | gaia = 50285| TOP = 50000000
[################                                  ] 33% 54-55 | [-60]-[-50] | 47.64 s | join = 10953 | tmass = 10953 | gaia = 42308| TOP = 50000000
[#################################                 ] 67% 54-55 | [-50]-[-40] | 57.61 s | join = 12562 | tmass = 12562 | gaia = 47625| TOP = 50000000
[##################################################] 100% 54-55 | [-40]-[-30] | 94.96 s | join = 14394 | tmass = 14394 | gaia = 52658| TOP = 50000000
[################                                  ] 33% 55-56 | [-60]-[-50] | 77.14 s | join = 11450 | tmass = 11450 | gaia = 43540| TOP = 50000000
[#################################                 ] 67% 55-56 | [-50]-[-40] | 48.04 s | join = 12567 | tmass = 12567 | gaia = 49028| TOP = 50000000
[##################################################] 100% 55-56 | [-40]-[-30] | 45.52 s | join = 13762 | tmass = 13762 | gaia = 52978| TOP = 50000000
[################                                  ] 33% 56-57 | [-60]-[-50] | 69.19 s | join = 11451 | tmass = 11451 | gaia = 44225| TOP = 50000000
[#################################                 ] 67% 56-57 | [-50]-[-40] | 80.75 s | join = 12791 | tmass = 12791 | gaia = 49106| TOP = 50000000
[##################################################] 100% 56-57 | [-40]-[-30] | 45.86 s | join = 14495 | tmass = 14495 | gaia = 54017| TOP = 50000000
[################                                  ] 33% 57-58 | [-60]-[-50] | 47.45 s | join = 11387 | tmass = 11387 | gaia = 44105| TOP = 50000000
[#################################                 ] 67% 57-58 | [-50]-[-40] | 56.69 s | join = 12369 | tmass = 12369 | gaia = 48880| TOP = 50000000
[##################################################] 100% 57-58 | [-40]-[-30] | 74.63 s | join = 14425 | tmass = 14425 | gaia = 55292| TOP = 50000000
[################                                  ] 33% 58-59 | [-60]-[-50] | 53.7 s | join = 11261 | tmass = 11261 | gaia = 45064| TOP = 50000000
[#################################                 ] 67% 58-59 | [-50]-[-40] | 48.28 s | join = 12650 | tmass = 12650 | gaia = 49874| TOP = 50000000
[##################################################] 100% 58-59 | [-40]-[-30] | 57.49 s | join = 15076 | tmass = 15076 | gaia = 55972| TOP = 50000000
[################                                  ] 33% 59-60 | [-60]-[-50] | 95.55 s | join = 11879 | tmass = 11879 | gaia = 46580| TOP = 50000000
[#################################                 ] 67% 59-60 | [-50]-[-40] | 59.33 s | join = 13924 | tmass = 13924 | gaia = 51633| TOP = 50000000
[##################################################] 100% 59-60 | [-40]-[-30] | 42.19 s | join = 14913 | tmass = 14913 | gaia = 56813| TOP = 50000000
