some error
time = 122.12sfail to fetch gaia
some error
time = 61.18sfail to fetch gaia
some error
time = 61.11sfail to fetch gaia
some error
time = 122.35sfail to fetch gaia
some error
time = 122.23sfail to fetch gaia
some error
time = 61.13sfail to fetch gaia
some error
time = 61.25sfail to fetch gaia
some error
time = 115.99sfail to fetch gaia
some error
time = 61.25sfail to fetch gaia
some error
time = 61.25sfail to fetch gaia
some error
time = 61.14sfail to fetch gaia
some error
time = 106.79sfail to fetch gaia
some error
time = 104.16sfail to fetch gaia
some error
time = 61.1sfail to fetch gaia
some error
time = 104.72sfail to fetch gaia
some error
time = 61.12sfail to fetch gaia
too many tries, raise error
some error
time = 61.76sfail to fetch gaia
some error
time = 61.18sfail to fetch gaia
some error
time = 61.21sfail to fetch gaia

[#                                                 ] 3% 255-256 | [-30]-[-29] | 138.77 s | join = 64191 | tmass = 64191 | gaia = 237644| TOP = 50000000
[###########################################       ] 87% 257-258 | [-5]-[-4] | 28.61 s | join = 10156 | tmass = 10156 | gaia = 40900| TOP = 50000000
[#############################################     ] 90% 257-258 | [-4]-[-3] | 31.67 s | join = 10391 | tmass = 10391 | gaia = 40428| TOP = 50000000
[##############################################    ] 93% 257-258 | [-3]-[-2] | 31.72 s | join = 9833 | tmass = 9833 | gaia = 39438| TOP = 50000000
[################################################  ] 97% 257-258 | [-2]-[-1] | 30.98 s | join = 9534 | tmass = 9534 | gaia = 37474| TOP = 50000000
[##################################################] 100% 257-258 | [-1]-[0] | 37.59 s | join = 9376 | tmass = 9376 | gaia = 36657| TOP = 50000000
[#                                                 ] 3% 258-259 | [-30]-[-29] | 140.3 s | join = 76538 | tmass = 76538 | gaia = 215155| TOP = 50000000
[###                                               ] 7% 258-259 | [-29]-[-28] | 146.92 s | join = 71226 | tmass = 71226 | gaia = 226017| TOP = 50000000
[#####                                             ] 10% 258-259 | [-28]-[-27] | 161.44 s | join = 63512 | tmass = 63512 | gaia = 256079| TOP = 50000000
[######                                            ] 13% 258-259 | [-27]-[-26] | 146.34 s | join = 61662 | tmass = 61662 | gaia = 244522| TOP = 50000000
[########                                          ] 17% 258-259 | [-26]-[-25] | 132.43 s | join = 58003 | tmass = 58003 | gaia = 216887| TOP = 50000000
[##########                                        ] 20% 258-259 | [-25]-[-24] | 128.77 s | join = 51734 | tmass = 51734 | gaia = 217804| TOP = 50000000
[###########                                       ] 23% 258-259 | [-24]-[-23] | 163.91 s | join = 56134 | tmass = 56134 | gaia = 208222| TOP = 50000000
[#############                                     ] 27% 258-259 | [-23]-[-22] | 117.04 s | join = 46439 | tmass = 46439 | gaia = 189527| TOP = 50000000
[###############                                   ] 30% 258-259 | [-22]-[-21] | 109.43 s | join = 41332 | tmass = 41332 | gaia = 172855| TOP = 50000000
[################                                  ] 33% 258-259 | [-21]-[-20] | 100.11 s | join = 42864 | tmass = 42864 | gaia = 167430| TOP = 50000000
[##################                                ] 37% 258-259 | [-20]-[-19] | 110.18 s | join = 40029 | tmass = 40029 | gaia = 160320| TOP = 50000000
[####################                              ] 40% 258-259 | [-19]-[-18] | 95.65 s | join = 38432 | tmass = 38432 | gaia = 146101| TOP = 50000000
[#####################                             ] 43% 258-259 | [-18]-[-17] | 108.0 s | join = 30973 | tmass = 30973 | gaia = 124638| TOP = 50000000
[#######################                           ] 47% 258-259 | [-17]-[-16] | 74.87 s | join = 26946 | tmass = 26946 | gaia = 105209| TOP = 50000000
[#########################                         ] 50% 258-259 | [-16]-[-15] | 59.33 s | join = 23176 | tmass = 23176 | gaia = 91423| TOP = 50000000
[##########################                        ] 53% 258-259 | [-15]-[-14] | 60.31 s | join = 20361 | tmass = 20361 | gaia = 80665| TOP = 50000000
[############################                      ] 57% 258-259 | [-14]-[-13] | 48.16 s | join = 18264 | tmass = 18264 | gaia = 73180| TOP = 50000000
[##############################                    ] 60% 258-259 | [-13]-[-12] | 46.19 s | join = 17144 | tmass = 17144 | gaia = 68712| TOP = 50000000
[###############################                   ] 63% 258-259 | [-12]-[-11] | 49.58 s | join = 17872 | tmass = 17872 | gaia = 65929| TOP = 50000000
[#################################                 ] 67% 258-259 | [-11]-[-10] | 39.72 s | join = 16857 | tmass = 16857 | gaia = 62910| TOP = 50000000
[###################################               ] 70% 258-259 | [-10]-[-9] | 42.5 s | join = 16269 | tmass = 16269 | gaia = 60677| TOP = 50000000
[####################################              ] 73% 258-259 | [-9]-[-8] | 73.92 s | join = 15101 | tmass = 15101 | gaia = 56640| TOP = 50000000
[######################################            ] 77% 258-259 | [-8]-[-7] | 44.66 s | join = 13964 | tmass = 13964 | gaia = 52750| TOP = 50000000
[########################################          ] 80% 258-259 | [-7]-[-6] | 38.79 s | join = 13081 | tmass = 13081 | gaia = 49096| TOP = 50000000
[#########################################         ] 83% 258-259 | [-6]-[-5] | 34.64 s | join = 11451 | tmass = 11451 | gaia = 45337| TOP = 50000000
[###########################################       ] 87% 258-259 | [-5]-[-4] | 44.66 s | join = 10914 | tmass = 10914 | gaia = 42880| TOP = 50000000
[#############################################     ] 90% 258-259 | [-4]-[-3] | 30.82 s | join = 10331 | tmass = 10331 | gaia = 40531| TOP = 50000000
[##############################################    ] 93% 258-259 | [-3]-[-2] | 35.91 s | join = 9951 | tmass = 9951 | gaia = 39329| TOP = 50000000
[################################################  ] 97% 258-259 | [-2]-[-1] | 31.0 s | join = 9863 | tmass = 9863 | gaia = 39210| TOP = 50000000
[##################################################] 100% 258-259 | [-1]-[0] | 27.69 s | join = 9742 | tmass = 9742 | gaia = 37693| TOP = 50000000
[#                                                 ] 3% 259-260 | [-30]-[-29] | 153.18 s | join = 86490 | tmass = 86490 | gaia = 257273| TOP = 50000000
[###                                               ] 7% 259-260 | [-29]-[-28] | 148.52 s | join = 80602 | tmass = 80602 | gaia = 237578| TOP = 50000000
[#####                                             ] 10% 259-260 | [-28]-[-27] | 155.65 s | join = 73995 | tmass = 73995 | gaia = 261489| TOP = 50000000
[######                                            ] 13% 259-260 | [-27]-[-26] | 137.72 s | join = 70014 | tmass = 70014 | gaia = 225921| TOP = 50000000
[########                                          ] 17% 259-260 | [-26]-[-25] | 170.6 s | join = 66617 | tmass = 66617 | gaia = 225555| TOP = 50000000
[##########                                        ] 20% 259-260 | [-25]-[-24] | 141.75 s | join = 60903 | tmass = 60903 | gaia = 240163| TOP = 50000000
[###########                                       ] 23% 259-260 | [-24]-[-23] | 138.65 s | join = 59496 | tmass = 59496 | gaia = 227355| TOP = 50000000
[#############                                     ] 27% 259-260 | [-23]-[-22] | 124.6 s | join = 53052 | tmass = 53052 | gaia = 210097| TOP = 50000000
[###############                                   ] 30% 259-260 | [-22]-[-21] | 123.87 s | join = 47022 | tmass = 47022 | gaia = 193036| TOP = 50000000
[################                                  ] 33% 259-260 | [-21]-[-20] | 114.64 s | join = 49354 | tmass = 49354 | gaia = 187603| TOP = 50000000
