
[##################################################] 100% 336-337 | [50]-[60] | 152.25 s | join = 200902 | tmass = 200902 | gaia = 256876| TOP = 50000000
[################                                  ] 33% 337-338 | [30]-[40] | 143.35 s | join = 56410 | tmass = 56410 | gaia = 245099| TOP = 50000000
[#################################                 ] 67% 337-338 | [40]-[50] | 145.1 s | join = 110207 | tmass = 110207 | gaia = 236547| TOP = 50000000
[##################################################] 100% 337-338 | [50]-[60] | 143.92 s | join = 181815 | tmass = 181815 | gaia = 228375| TOP = 50000000
[################                                  ] 33% 338-339 | [30]-[40] | 139.84 s | join = 56677 | tmass = 56677 | gaia = 241992| TOP = 50000000
[#################################                 ] 67% 338-339 | [40]-[50] | 173.46 s | join = 108454 | tmass = 108454 | gaia = 251075| TOP = 50000000
[##################################################] 100% 338-339 | [50]-[60] | 147.23 s | join = 181850 | tmass = 181850 | gaia = 220081| TOP = 50000000
[################                                  ] 33% 339-340 | [30]-[40] | 134.65 s | join = 60224 | tmass = 60224 | gaia = 241954| TOP = 50000000
[#################################                 ] 67% 339-340 | [40]-[50] | 140.69 s | join = 102122 | tmass = 102122 | gaia = 238992| TOP = 50000000
[##################################################] 100% 339-340 | [50]-[60] | 156.1 s | join = 179787 | tmass = 179787 | gaia = 259995| TOP = 50000000
[################                                  ] 33% 340-341 | [30]-[40] | 131.62 s | join = 61414 | tmass = 61414 | gaia = 228327| TOP = 50000000
[#################################                 ] 67% 340-341 | [40]-[50] | 140.89 s | join = 95780 | tmass = 95780 | gaia = 251609| TOP = 50000000
[##################################################] 100% 340-341 | [50]-[60] | 145.38 s | join = 177776 | tmass = 177776 | gaia = 239970| TOP = 50000000
[################                                  ] 33% 341-342 | [30]-[40] | 132.82 s | join = 51821 | tmass = 51821 | gaia = 216128| TOP = 50000000
[#################################                 ] 67% 341-342 | [40]-[50] | 140.39 s | join = 90290 | tmass = 90290 | gaia = 250262| TOP = 50000000
[##################################################] 100% 341-342 | [50]-[60] | 174.1 s | join = 173979 | tmass = 173979 | gaia = 242098| TOP = 50000000
[################                                  ] 33% 342-343 | [30]-[40] | 112.27 s | join = 50238 | tmass = 50238 | gaia = 203453| TOP = 50000000
[#################################                 ] 67% 342-343 | [40]-[50] | 157.18 s | join = 85792 | tmass = 85792 | gaia = 251820| TOP = 50000000
[##################################################] 100% 342-343 | [50]-[60] | 147.71 s | join = 163523 | tmass = 163523 | gaia = 237351| TOP = 50000000
[################                                  ] 33% 343-344 | [30]-[40] | 114.66 s | join = 46337 | tmass = 46337 | gaia = 195580| TOP = 50000000
[#################################                 ] 67% 343-344 | [40]-[50] | 187.25 s | join = 82840 | tmass = 82840 | gaia = 285363| TOP = 50000000
[##################################################] 100% 343-344 | [50]-[60] | 152.04 s | join = 159172 | tmass = 159172 | gaia = 241393| TOP = 50000000
[################                                  ] 33% 344-345 | [30]-[40] | 152.01 s | join = 45239 | tmass = 45239 | gaia = 188599| TOP = 50000000
[#################################                 ] 67% 344-345 | [40]-[50] | 165.43 s | join = 79369 | tmass = 79369 | gaia = 311243| TOP = 50000000
[##################################################] 100% 344-345 | [50]-[60] | 180.03 s | join = 155172 | tmass = 155172 | gaia = 231990| TOP = 50000000
[################                                  ] 33% 345-346 | [30]-[40] | 135.2 s | join = 43839 | tmass = 43839 | gaia = 182424| TOP = 50000000
[#################################                 ] 67% 345-346 | [40]-[50] | 170.67 s | join = 75420 | tmass = 75420 | gaia = 309456| TOP = 50000000
[##################################################] 100% 345-346 | [50]-[60] | 147.36 s | join = 147430 | tmass = 147430 | gaia = 246037| TOP = 50000000
[################                                  ] 33% 346-347 | [30]-[40] | 100.03 s | join = 43754 | tmass = 43754 | gaia = 176451| TOP = 50000000
[#################################                 ] 67% 346-347 | [40]-[50] | 170.96 s | join = 71321 | tmass = 71321 | gaia = 252845| TOP = 50000000
[##################################################] 100% 346-347 | [50]-[60] | 146.61 s | join = 145162 | tmass = 145162 | gaia = 252360| TOP = 50000000
[################                                  ] 33% 347-348 | [30]-[40] | 116.05 s | join = 42552 | tmass = 42552 | gaia = 171727| TOP = 50000000
[#################################                 ] 67% 347-348 | [40]-[50] | 131.86 s | join = 70688 | tmass = 70688 | gaia = 219512| TOP = 50000000
[##################################################] 100% 347-348 | [50]-[60] | 192.39 s | join = 146097 | tmass = 146097 | gaia = 262300| TOP = 50000000
[################                                  ] 33% 348-349 | [30]-[40] | 99.1 s | join = 41326 | tmass = 41326 | gaia = 168755| TOP = 50000000
[#################################                 ] 67% 348-349 | [40]-[50] | 133.34 s | join = 70620 | tmass = 70620 | gaia = 222602| TOP = 50000000
[##################################################] 100% 348-349 | [50]-[60] | 141.77 s | join = 133115 | tmass = 133115 | gaia = 234879| TOP = 50000000
[################                                  ] 33% 349-350 | [30]-[40] | 103.49 s | join = 40474 | tmass = 40474 | gaia = 166793| TOP = 50000000
[#################################                 ] 67% 349-350 | [40]-[50] | 134.0 s | join = 66766 | tmass = 66766 | gaia = 247185| TOP = 50000000
[##################################################] 100% 349-350 | [50]-[60] | 150.09 s | join = 125550 | tmass = 125550 | gaia = 263022| TOP = 50000000
[################                                  ] 33% 350-351 | [30]-[40] | 101.37 s | join = 39946 | tmass = 39946 | gaia = 162739| TOP = 50000000
[#################################                 ] 67% 350-351 | [40]-[50] | 133.06 s | join = 66387 | tmass = 66387 | gaia = 247314| TOP = 50000000
[##################################################] 100% 350-351 | [50]-[60] | 188.97 s | join = 123122 | tmass = 123122 | gaia = 344996| TOP = 50000000
