
[####################################              ] 72% 15-16 | [30]-[40] | 56.66 s | join = 3493 | tmass = 3493 | gaia = 56347| TOP = 81184
[######################################            ] 78% 15-16 | [40]-[50] | 64.93 s | join = 5205 | tmass = 5205 | gaia = 85648| TOP = 112694
[#########################################         ] 83% 15-16 | [50]-[60] | 84.66 s | join = 9417 | tmass = 9417 | gaia = 121162| TOP = 171296
[############################################      ] 89% 15-16 | [60]-[70] | 61.6 s | join = 9862 | tmass = 9862 | gaia = 102291| TOP = 242324
[###############################################   ] 94% 15-16 | [70]-[80] | 37.46 s | join = 2980 | tmass = 2980 | gaia = 45340| TOP = 204582
[##################################################] 100% 15-16 | [80]-[90] | 16.16 s | join = 525 | tmass = 525 | gaia = 13137| TOP = 90680
[##                                                ] 6% 16-17 | [-90]-[-80] | 17.15 s | join = 365 | tmass = 365 | gaia = 7862| TOP = 50000
[#####                                             ] 11% 16-17 | [-80]-[-70] | 18.14 s | join = 1409 | tmass = 1409 | gaia = 16365| TOP = 50000
[########                                          ] 17% 16-17 | [-70]-[-60] | 28.6 s | join = 1055 | tmass = 1055 | gaia = 20539| TOP = 50000
[###########                                       ] 22% 16-17 | [-60]-[-50] | 21.01 s | join = 1251 | tmass = 1251 | gaia = 22514| TOP = 50000
[#############                                     ] 28% 16-17 | [-50]-[-40] | 21.49 s | join = 1259 | tmass = 1259 | gaia = 23366| TOP = 50000
[################                                  ] 33% 16-17 | [-40]-[-30] | 22.23 s | join = 1398 | tmass = 1398 | gaia = 22671| TOP = 50000
[###################                               ] 39% 16-17 | [-30]-[-20] | 29.92 s | join = 1480 | tmass = 1480 | gaia = 22414| TOP = 50000
[######################                            ] 44% 16-17 | [-20]-[-10] | 21.71 s | join = 1584 | tmass = 1584 | gaia = 23648| TOP = 50000
[#########################                         ] 50% 16-17 | [-10]-[0] | 22.71 s | join = 1661 | tmass = 1661 | gaia = 25117| TOP = 50000
[###########################                       ] 56% 16-17 | [0]-[10] | 29.86 s | join = 1958 | tmass = 1958 | gaia = 27748| TOP = 50234
[##############################                    ] 61% 16-17 | [10]-[20] | 36.18 s | join = 2187 | tmass = 2187 | gaia = 32349| TOP = 55496
[#################################                 ] 67% 16-17 | [20]-[30] | 40.2 s | join = 2690 | tmass = 2690 | gaia = 40323| TOP = 64698
[####################################              ] 72% 16-17 | [30]-[40] | 37.94 s | join = 3485 | tmass = 3485 | gaia = 55666| TOP = 80646
[######################################            ] 78% 16-17 | [40]-[50] | 55.19 s | join = 5144 | tmass = 5144 | gaia = 83979| TOP = 111332
[#########################################         ] 83% 16-17 | [50]-[60] | 78.14 s | join = 8985 | tmass = 8985 | gaia = 116711| TOP = 167958
[############################################      ] 89% 16-17 | [60]-[70] | 59.87 s | join = 9251 | tmass = 9251 | gaia = 98111| TOP = 233422
[###############################################   ] 94% 16-17 | [70]-[80] | 37.11 s | join = 3016 | tmass = 3016 | gaia = 44247| TOP = 196222
[##################################################] 100% 16-17 | [80]-[90] | 16.01 s | join = 488 | tmass = 488 | gaia = 12794| TOP = 88494
[##                                                ] 6% 17-18 | [-90]-[-80] | 13.7 s | join = 404 | tmass = 404 | gaia = 8058| TOP = 50000
[#####                                             ] 11% 17-18 | [-80]-[-70] | 23.36 s | join = 1164 | tmass = 1164 | gaia = 16628| TOP = 50000
